Date,Close
2014-10-20,382.845
2014-10-21,386.475
2014-10-22,383.158
2014-10-23,358.417
2014-10-24,358.345
2014-10-25,347.271
2014-10-26,354.704
2014-10-27,352.989
2014-10-28,357.618
2014-10-29,335.591
2014-10-30,345.305
2014-10-31,338.321
2014-11-01,325.749
2014-11-02,325.892
2014-11-03,327.554
2014-11-04,330.492
2014-11-05,339.486
2014-11-06,349.29
2014-11-07,342.415
2014-11-08,345.488
2014-11-09,363.264
2014-11-10,366.924
2014-11-11,367.695
2014-11-12,423.561
2014-11-13,420.735
2014-11-14,397.818
2014-11-15,376.133
2014-11-16,387.882
2014-11-17,387.408
2014-11-18,375.198
2014-11-19,380.555
2014-11-20,357.84
2014-11-21,350.848
2014-11-22,352.92
2014-11-23,367.573
2014-11-24,376.901
2014-11-25,375.348
2014-11-26,368.37
2014-11-27,369.67
2014-11-28,376.447
2014-11-29,375.491
2014-11-30,378.047
2014-12-01,379.245
2014-12-02,381.315
2014-12-03,375.01
2014-12-04,369.604
2014-12-05,376.854
2014-12-06,374.785
2014-12-07,375.095
2014-12-08,361.909
2014-12-09,352.219
2014-12-10,346.365
2014-12-11,350.506
2014-12-12,352.542
2014-12-13,347.376
2014-12-14,351.632
2014-12-15,345.345
2014-12-16,327.062
2014-12-17,319.776
2014-12-18,311.396
2014-12-19,317.843
2014-12-20,329.956
2014-12-21,320.843
2014-12-22,331.886
2014-12-23,334.572
2014-12-24,322.534
2014-12-25,319.008
2014-12-26,327.924
2014-12-27,315.863
2014-12-28,317.239
2014-12-29,312.67
2014-12-30,310.737
2014-12-31,320.193
2015-01-01,314.249
2015-01-02,315.032
2015-01-03,281.082
2015-01-04,264.195
2015-01-05,274.474
2015-01-06,286.189
2015-01-07,294.337
2015-01-08,283.349
2015-01-09,290.408
2015-01-10,274.796
2015-01-11,265.66
2015-01-12,267.796
2015-01-13,225.861
2015-01-14,178.103
2015-01-15,209.844
2015-01-16,208.097
2015-01-17,199.26
2015-01-18,210.339
2015-01-19,214.861
2015-01-20,211.315
2015-01-21,226.897
2015-01-22,233.406
2015-01-23,232.879
2015-01-24,247.847
2015-01-25,253.718
2015-01-26,273.473
2015-01-27,263.475
2015-01-28,233.915
2015-01-29,233.513
2015-01-30,226.425
2015-01-31,217.464
2015-02-01,226.972
2015-02-02,238.229
2015-02-03,227.268
2015-02-04,226.853
2015-02-05,217.111
2015-02-06,222.266
2015-02-07,227.754
2015-02-08,223.412
2015-02-09,220.11
2015-02-10,219.839
2015-02-11,219.185
2015-02-12,221.764
2015-02-13,235.427
2015-02-14,257.321
